ApplicationID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,result
App1,0.999957249,0.999996325,0.999958209,0.999878617,0.999881186,0.999956372,0.99987932,0.999956514,0.999916989,0.999918856,0.999991792,0.999878655,0.999954782,0.999919301,0.999880898,0.999954371,0.999954221,0.999920007,0.999918882,0.99987962,0.999842005,0.999919436,0.999879356,0.999880264,0.999881616,0.999918281,0.999917061,0.99995694,0.999920095,0.999917369,0.999956034,0.999955298,0.999959263,0.999920031,0.999956782,0.999882072,0.999958269,0.999954848,0.999877264,0.999919283,0.999877802,0.999994874,0.999919443,0.999996137,0.999918362,0.999880342,0.999956696,0.999918734,0.999906415,0.999880006,0.999878264,0.999880992,0.999955011,0.99999154,0.999918296,0.999917505,0.999882521,0.99995846,0.999841218,0.999880304,0.999880167,0.999918573,0.999954802,0.99987884,0.999878497,0.999955521,0.999880764,0.999917704,0.999919768,0.999879142,0.999918441,0.999879324,0.999920636,0.999956102,0.999880404,0.999918404,0.999918694,0.99991823,0.999955099,0.999920013,0.999919025,0.999842376,0.999881659,0.999919128,0.999956685,0.999843418,0.999879429,0.999956297,0.999918465,0.999879651,0.99991927,0.999956217,0.99995726,0.999839743,0.999953542,0.99984281,0.999956944,0.999954353,0.999954865,0.999993784,0.999918507
App2,0.999918366,0.999958347,0.999882413,0.999956782,0.999919598,0.99992199,0.999919787,0.99992027,0.999879254,0.999995375,0.99999273,0.999917141,0.999957441,0.999920136,0.999919467,0.999994638,0.999919294,0.999882506,0.999919934,0.999879185,0.999844471,0.999957156,0.999958173,0.99988255,0.999920533,0.999919121,0.99999492,0.999958588,0.999921362,0.999994833,0.999956154,0.999917246,0.999960104,0.999959176,0.999958316,0.999958945,0.999959352,0.999993339,0.99995404,0.999918808,0.999955352,0.999959382,0.999920029,0.999958096,0.999920575,0.999921666,0.999918938,0.999996329,0.999944799,0.99988154,0.999880433,0.999919501,0.999957339,0.999992818,0.999955595,0.999919908,0.999881706,0.999883281,0.999842556,0.999920676,0.999880359,0.999958296,0.99999367,0.999879748,0.99987977,0.999994556,0.999919573,0.999918367,0.999920144,0.999917942,0.999880292,0.999919614,0.999920803,0.999996482,0.999841618,0.999995253,0.999918672,0.9999193,0.999954117,0.999958243,0.999919345,0.999804979,0.999844131,0.999920601,0.999919322,0.999919307,0.999918603,0.999919568,0.999919813,0.999955548,0.999920963,0.999919796,0.999957276,0.999878681,0.999877974,0.99991898,0.999995839,0.999917563,0.999955901,0.999957869,0.999929012
App3,0.999957677,0.999956872,0.999960067,0.999959806,0.99992084,0.999920088,0.999958207,0.99992259,0.999960104,0.999921291,0.999959014,0.99999579,0.99999737,0.999993862,0.999996087,0.999957034,0.999995339,0.99995937,0.999997805,0.999997803,0.999959441,0.999959972,0.999959762,0.99995979,0.999921352,0.999918186,0.999996835,0.999959717,0.999958312,0.999997311,0.999921087,0.999883101,0.999958689,0.999919992,0.999919977,0.999958762,0.999957736,0.999958988,0.999997177,0.999996066,0.999959427,0.999922492,0.999960363,0.999920921,0.999959471,0.999958936,0.999920007,0.999959717,0.99995884,0.999996466,0.999994424,0.999957438,0.999996328,0.999958824,0.999920627,0.999919839,0.999958599,0.99995941,0.99995952,0.999921402,0.999921408,0.999880996,0.999958238,0.999957845,0.999956795,0.99995778,0.999958729,0.999959325,0.999921511,0.999958995,0.999959331,0.999880843,0.999997873,0.999922221,0.999881574,0.999958568,0.999957688,0.999957829,0.999997262,0.999995376,0.999958869,0.999957575,0.999959231,0.999997152,0.999956543,0.999957598,0.999996038,0.999958233,0.999996801,0.999958174,0.999998069,0.999958538,0.999996356,0.999957072,0.999959296,0.999959726,0.99992117,0.999959254,0.999957923,0.99999634,0.999957125
App4,0.999881327,0.999918276,0.999880725,0.999844967,0.999843842,0.999995592,0.999917336,0.999920103,0.999881559,0.999918014,0.999914893,0.999918633,0.999917655,0.99999347,0.999878801,0.999880696,0.999954988,0.999956193,0.999920944,0.999882493,0.999955185,0.999917279,0.999882243,0.99988199,0.999919079,0.999881042,0.999956011,0.999918511,0.999880654,0.999955206,0.999916353,0.999882172,0.999882036,0.999919366,0.999917113,0.999841463,0.999955986,0.999842914,0.999841059,0.999991955,0.999878773,0.999842745,0.999881059,0.999996742,0.999955941,0.999916941,0.999802604,0.999919713,0.999954727,0.999918654,0.999881991,0.999917267,0.99988064,0.999918994,0.999919096,0.999954948,0.999993521,0.999921087,0.999843281,0.999918652,0.999919043,0.999957659,0.999915144,0.999954064,0.999917119,0.999991888,0.999763957,0.999958672,0.999957404,0.99991604,0.999957091,0.999918218,0.999880269,0.999919162,0.999880573,0.999955782,0.999916379,0.999879846,0.9998802,0.9999576,0.999920278,0.999840963,0.999919149,0.999915228,0.999802701,0.999917294,0.999880405,0.999956641,0.999881659,0.999916993,0.999958227,0.999994149,0.999917137,0.999955579,0.999917496,0.999995693,0.999917452,0.9998805,0.99984285,0.9999933,0.999912953
App5,0.999956678,0.999993454,0.999956766,0.999842116,0.999803118,0.999916328,0.999916481,0.999919193,0.999879831,0.999840589,0.999992077,0.999917009,0.999916783,0.999955077,0.999879398,0.999915599,0.999991384,0.999994709,0.999959085,0.999878568,0.999918827,0.999918293,0.999881445,0.999920528,0.999881401,0.999877143,0.999917288,0.999994854,0.999880213,0.999918708,0.999955842,0.999880754,0.999880229,0.999840103,0.999955756,0.999919217,0.999992439,0.999880582,0.999918619,0.999993015,0.999802312,0.999918377,0.999958814,0.999958932,0.999915787,0.999915357,0.999919094,0.999918455,0.999954564,0.999995385,0.999953294,0.999955955,0.999954812,0.999917851,0.999880108,0.999880007,0.999955117,0.99991898,0.99976679,0.999841635,0.999920452,0.999840853,0.999918441,0.999995099,0.999954108,0.999956379,0.999839817,0.999918722,0.999842796,0.999879333,0.999957465,0.999839232,0.999958577,0.99991853,0.99987901,0.999881271,0.999955065,0.999877974,0.999915764,0.999955288,0.999996924,0.999915893,0.999918162,0.999918791,0.999953739,0.999837138,0.99995602,0.9999561,0.999958054,0.999880526,0.999996046,0.999993868,0.999916722,0.999877774,0.999993668,0.999920853,0.999918855,0.999880513,0.999916901,0.999992724,0.999919346
App6,0.999957918,0.99999615,0.99992219,0.999921032,0.999921075,0.999882271,0.999957497,0.999957369,0.999880223,0.999921051,0.999994092,0.99995718,0.999917457,0.999958302,0.999957575,0.999919889,0.999958328,0.999882635,0.999958485,0.99988279,0.999958199,0.9999204,0.99988292,0.999883021,0.99995921,0.999958697,0.999956267,0.999957901,0.999958849,0.999958416,0.999880871,0.999918921,0.999881928,0.99995876,0.999958144,0.999957259,0.999921057,0.999915807,0.999879483,0.999995688,0.999956655,0.999959834,0.999959284,0.999957544,0.999957543,0.999882917,0.99991831,0.999997803,0.999957862,0.99992018,0.999919662,0.99991965,0.99999695,0.99988106,0.999920143,0.999958386,0.999882788,0.999959295,0.999957847,0.999920596,0.999920249,0.999995476,0.999995808,0.999918424,0.999916315,0.999959492,0.999879657,0.999883644,0.999959687,0.99988023,0.99999568,0.999919939,0.999920144,0.999958494,0.999920887,0.999995112,0.999995699,0.999919441,0.999958545,0.999919811,0.999879724,0.999880076,0.99992117,0.999920428,0.999996415,0.99991865,0.999957459,0.999994251,0.999919996,0.999881878,0.999959725,0.999959489,0.999957591,0.999957388,0.999958316,0.999958389,0.999957143,0.99995762,0.999957762,0.999956407,0.999938122
App7,0.999919787,0.999916077,0.999879023,0.999918683,0.999880579,0.99991895,0.999840472,0.999841791,0.999838755,0.999993624,0.999877522,0.999917733,0.99987946,0.999917281,0.999840177,0.999880112,0.999992393,0.999841622,0.999956486,0.999805822,0.999955255,0.999879851,0.999805426,0.999879481,0.999840696,0.999918152,0.999916708,0.99999059,0.999842193,0.999993498,0.99984099,0.999802646,0.999955344,0.99995624,0.99999305,0.999841424,0.999876386,0.999800284,0.999762873,0.99991766,0.999952448,0.999881396,0.999805452,0.999957498,0.999955174,0.999918878,0.999878571,0.999994896,0.999877167,0.999842625,0.999879797,0.999878731,0.999879572,0.99980368,0.999882427,0.999876016,0.999915224,0.999882953,0.999918124,0.999880925,0.999767772,0.999916911,0.999916421,0.999841618,0.999878022,0.999916932,0.999764108,0.9999171,0.999880119,0.999839621,0.999881711,0.999841296,0.999879737,0.99987904,0.999843602,0.999953865,0.999954426,0.99991709,0.999878847,0.999880139,0.999952562,0.999879218,0.999876599,0.999840346,0.999840828,0.999764856,0.99984384,0.999956631,0.999879675,0.999841899,0.999880409,0.999881206,0.99987883,0.999876388,0.999957332,0.999881304,0.999954383,0.999879611,0.999916189,0.999993043,0.999888102
App8,0.999919902,0.999918828,0.999879613,0.999880789,0.999879126,0.999882686,0.999880161,0.999916883,0.999878068,0.999917348,0.999914676,0.999918492,0.999917318,0.999920978,0.999918494,0.99991765,0.999917589,0.999881295,0.999994909,0.999881535,0.999878998,0.999843518,0.999879867,0.999843,0.999955744,0.999955073,0.999879441,0.999955706,0.999920813,0.999956005,0.999918008,0.999878724,0.999918451,0.999917064,0.999917735,0.999957026,0.999955357,0.999876105,0.999952708,0.999917935,0.999950782,0.999918828,0.999883365,0.99991757,0.999917663,0.999875014,0.999880199,0.999918961,0.999954567,0.999882197,0.999841587,0.999956169,0.999955843,0.999955501,0.999882836,0.999914311,0.999879945,0.99988192,0.999955808,0.999881677,0.999917144,0.999881708,0.999880021,0.999879021,0.99991699,0.999955463,0.999879299,0.999880576,0.999995328,0.999876924,0.999879884,0.999880352,0.999842173,0.999881611,0.999956027,0.999955209,0.999916936,0.999918941,0.999955947,0.999843622,0.999952498,0.999881715,0.999843574,0.999920551,0.999957168,0.999918107,0.999919529,0.999954746,0.999918592,0.999879721,0.999879391,0.999879503,0.999919411,0.999877608,0.999958763,0.999917975,0.999991883,0.999843592,0.999879957,0.999919595,0.999909254
App9,0.999958065,0.999958026,0.999882571,0.999919294,0.999921062,0.999920283,0.99991972,0.99995889,0.999881705,0.999958931,0.999878723,0.999959203,0.999992723,0.999882858,0.999956003,0.999919017,0.999920647,0.999921625,0.999958373,0.99992212,0.999921645,0.999959475,0.999843012,0.999882739,0.999920496,0.999958043,0.999956819,0.999997733,0.999958692,0.999994784,0.999920285,0.999919066,0.999958054,0.999921554,0.999956947,0.999919459,0.999919959,0.999955285,0.999954293,0.999918444,0.999995103,0.999957937,0.999959078,0.999919966,0.999957718,0.999921005,0.999880939,0.999959171,0.999996278,0.999959496,0.999958794,0.999844675,0.999995907,0.999957752,0.999957967,0.999954981,0.999882198,0.999959808,0.999957985,0.999919965,0.999881378,0.999958617,0.999880759,0.999842886,0.999882618,0.999921547,0.999919488,0.999920441,0.999993962,0.999839801,0.999994867,0.999956497,0.99991983,0.999959195,0.999959614,0.999957154,0.999956148,0.999920502,0.999997824,0.999918832,0.999956944,0.999881816,0.999920978,0.99991953,0.999958602,0.99992065,0.99995931,0.999957706,0.999920281,0.999918886,0.999921319,0.999921523,0.999957066,0.999881936,0.99992106,0.999919245,0.999995076,0.999996677,0.999994603,0.999919979,0.999935485
App10,0.99991836,0.999956238,0.999882571,0.999918584,0.999839206,0.999920203,0.999918407,0.999918205,0.999878429,0.99991882,0.999953342,0.999955163,0.999917379,0.999890749,0.999880278,0.99999297,0.999917913,0.999918213,0.999918555,0.999881194,0.999918115,0.999956534,0.999918439,0.99995488,0.999956848,0.999918775,0.999917418,0.999956131,0.999881986,0.999879331,0.999954872,0.999880414,0.999920855,0.999920988,0.999919391,0.999956979,0.999880212,0.999914624,0.999875747,0.999917923,0.999917563,0.999956566,0.999918106,0.99999532,0.999917137,0.999920231,0.999954726,0.999995221,0.999943315,0.999843963,0.999916594,0.999919253,0.999879567,0.999992295,0.999917609,0.999954661,0.999919702,0.999881617,0.999955747,0.999919552,0.999804962,0.999918065,0.999917825,0.999879613,0.999917239,0.999917152,0.999879914,0.999878882,0.999955745,0.999953954,0.999878799,0.999840202,0.99984407,0.999994454,0.999879139,0.99995589,0.999877589,0.999918268,0.999919483,0.999880435,0.999840645,0.999877493,0.999881637,0.999919955,0.999918989,0.999880493,0.999878808,0.999955135,0.999917348,0.999917673,0.99988108,0.999917112,0.999954989,0.999878805,0.999918033,0.999842721,0.999880121,0.999992639,0.999914207,0.999956241,0.999914498
